Combined Models,Individual Model 1,Individual Model 2,Combined Accuracy,Best Individual Accuracy,Difference,Std Dev (Combined)
LogisticRegression + BaggingClassifier,LogisticRegression,BaggingClassifier,0.9433716855492712,0.9412876266559668,0.00208405889330443,0.00411923945527847
LogisticRegression + AdaBoostClassifier,LogisticRegression,AdaBoostClassifier,0.9424366788525426,0.9412876266559668,0.001149052196575795,0.004108797071772196
RidgeClassifier + LinearDiscriminantAnalysis,RidgeClassifier,LinearDiscriminantAnalysis,0.9407611538656633,0.9408583234349285,-9.71695692651986e-05,0.004261834223934894
RidgeClassifier + ShrinkageLDA,RidgeClassifier,ShrinkageLDA,0.9409475724295915,0.9409221059822812,2.546644731027392e-05,0.004063306568397929
RidgeClassifier + QuadraticDiscriminantAnalysis,RidgeClassifier,QuadraticDiscriminantAnalysis,0.9408887906090315,0.9408583234349285,3.046717410304378e-05,0.003579032672839054
RidgeClassifier + RegularizedQDA,RidgeClassifier,RegularizedQDA,0.9407261556615575,0.9408583234349285,-0.00013216777337099472,0.004284749702456638
RidgeClassifier + LinearSVC,RidgeClassifier,LinearSVC,0.9417561376048521,0.9416045440940944,0.0001515935107576638,0.005299996519243068
RidgeClassifier + SVC_rbf,RidgeClassifier,SVC_rbf,0.9454766201526642,0.9453291087902471,0.0001475113624170854,0.0024676600636094168
RidgeClassifier + HingeSGDClassifier,RidgeClassifier,HingeSGDClassifier,0.9401396631210188,0.9408583234349285,-0.0007186603139096581,0.005360800025009548
RidgeClassifier + LogLossSGDClassifier,RidgeClassifier,LogLossSGDClassifier,0.942092713638521,0.9408583234349285,0.0012343902035925058,0.00419973033729065
RidgeClassifier + PolynomialSGDClassifier,RidgeClassifier,PolynomialSGDClassifier,0.9407292745334308,0.9408583234349285,-0.00012904890149767478,0.004310487437328789
RidgeClassifier + GaussianNB,RidgeClassifier,GaussianNB,0.9407437990560563,0.9408583234349285,-0.0001145243788721606,0.003886842684507159
RidgeClassifier + DecisionTreeClassifier,RidgeClassifier,DecisionTreeClassifier,0.9406130076164836,0.9408583234349285,-0.00024531581844489114,0.0042731665417196606
RidgeClassifier + FullDecisionTreeClassifier,RidgeClassifier,FullDecisionTreeClassifier,0.941457309375126,0.9408583234349285,0.0005989859401974718,0.0043293165131000665
RidgeClassifier + RandomForestClassifier,RidgeClassifier,RandomForestClassifier,0.9434587650168442,0.9408583234349285,0.0026004415819157467,0.003004756467219002
RidgeClassifier + KNeighborsClassifier,RidgeClassifier,KNeighborsClassifier,0.9417827205771591,0.9408583234349285,0.0009243971422305819,0.0030811696806726293
RidgeClassifier + BaggingClassifier,RidgeClassifier,BaggingClassifier,0.9422432333320574,0.9408583234349285,0.0013849098971289164,0.0029442799418843823
RidgeClassifier + AdaBoostClassifier,RidgeClassifier,AdaBoostClassifier,0.9413634935261287,0.9408583234349285,0.0005051700912002133,0.0038064170301130296
LinearDiscriminantAnalysis + ShrinkageLDA,LinearDiscriminantAnalysis,ShrinkageLDA,0.9408249403934972,0.9409221059822812,-9.71655887840317e-05,0.003886199844715698
LinearDiscriminantAnalysis + QuadraticDiscriminantAnalysis,LinearDiscriminantAnalysis,QuadraticDiscriminantAnalysis,0.9406657726100077,0.9407643384154774,-9.856580546963034e-05,0.003337631355994858
LinearDiscriminantAnalysis + RegularizedQDA,LinearDiscriminantAnalysis,RegularizedQDA,0.9405923388914212,0.9407643384154774,-0.00017199952405611008,0.004215249471698956
LinearDiscriminantAnalysis + LinearSVC,LinearDiscriminantAnalysis,LinearSVC,0.9414598172431239,0.9416045440940944,-0.0001447268509705557,0.005394506016493925
LinearDiscriminantAnalysis + SVC_rbf,LinearDiscriminantAnalysis,SVC_rbf,0.9468674772184063,0.9453291087902471,0.0015383684281591314,0.0014726740283119428
LinearDiscriminantAnalysis + HingeSGDClassifier,LinearDiscriminantAnalysis,HingeSGDClassifier,0.9378641232395337,0.9407643384154774,-0.0029002151759436323,0.006793595769261077
LinearDiscriminantAnalysis + LogLossSGDClassifier,LinearDiscriminantAnalysis,LogLossSGDClassifier,0.9399135262501217,0.9407643384154774,-0.0008508121653556522,0.004393983410999761
LinearDiscriminantAnalysis + PolynomialSGDClassifier,LinearDiscriminantAnalysis,PolynomialSGDClassifier,0.939435650724654,0.9407643384154774,-0.0013286876908233936,0.003970588745717948
LinearDiscriminantAnalysis + GaussianNB,LinearDiscriminantAnalysis,GaussianNB,0.9403217994350236,0.9407643384154774,-0.00044253898045376605,0.0030143497392057916
LinearDiscriminantAnalysis + DecisionTreeClassifier,LinearDiscriminantAnalysis,DecisionTreeClassifier,0.9400919983663192,0.9407643384154774,-0.000672340049158171,0.004584749302459759
LinearDiscriminantAnalysis + FullDecisionTreeClassifier,LinearDiscriminantAnalysis,FullDecisionTreeClassifier,0.9412217502106683,0.9407643384154774,0.0004574117951909873,0.004299003653921067
LinearDiscriminantAnalysis + RandomForestClassifier,LinearDiscriminantAnalysis,RandomForestClassifier,0.9425832785199513,0.9407643384154774,0.0018189401044739206,0.0033880034647550236
LinearDiscriminantAnalysis + KNeighborsClassifier,LinearDiscriminantAnalysis,KNeighborsClassifier,0.9413439990430416,0.9407643384154774,0.0005796606275642047,0.0019149636943137831
LinearDiscriminantAnalysis + BaggingClassifier,LinearDiscriminantAnalysis,BaggingClassifier,0.9403384486219266,0.9407643384154774,-0.00042588979355073775,0.005150463036161368
LinearDiscriminantAnalysis + AdaBoostClassifier,LinearDiscriminantAnalysis,AdaBoostClassifier,0.9412492676833522,0.9407643384154774,0.00048492926787480073,0.0028290091468391666
ShrinkageLDA + QuadraticDiscriminantAnalysis,ShrinkageLDA,QuadraticDiscriminantAnalysis,0.9407756624663639,0.9409221059822812,-0.00014644351591730498,0.0031694396601613497
ShrinkageLDA + RegularizedQDA,ShrinkageLDA,RegularizedQDA,0.9407181634382923,0.9409221059822812,-0.00020394254398892198,0.003951667823470118
ShrinkageLDA + LinearSVC,ShrinkageLDA,LinearSVC,0.9415745665191879,0.9416045440940944,-2.997757490652564e-05,0.005210633969524016
ShrinkageLDA + SVC_rbf,ShrinkageLDA,SVC_rbf,0.9467097036808806,0.9453291087902471,0.0013805948906334686,0.0016439593032514762
ShrinkageLDA + HingeSGDClassifier,ShrinkageLDA,HingeSGDClassifier,0.939056559931126,0.9409221059822812,-0.001865546051155187,0.005579056295769539
ShrinkageLDA + LogLossSGDClassifier,ShrinkageLDA,LogLossSGDClassifier,0.9406153034414553,0.9409221059822812,-0.0003068025408259345,0.004037355236325125
ShrinkageLDA + PolynomialSGDClassifier,ShrinkageLDA,PolynomialSGDClassifier,0.9406670852561054,0.9409221059822812,-0.00025502072617578087,0.003963953152558261
ShrinkageLDA + GaussianNB,ShrinkageLDA,GaussianNB,0.9407915334691783,0.9409221059822812,-0.00013057251310288898,0.003299185735980898
ShrinkageLDA + DecisionTreeClassifier,ShrinkageLDA,DecisionTreeClassifier,0.9403597274381422,0.9409221059822812,-0.0005623785441389861,0.003950860051018367
ShrinkageLDA + FullDecisionTreeClassifier,ShrinkageLDA,FullDecisionTreeClassifier,0.9415688442477663,0.9409221059822812,0.0006467382654851139,0.0042615495581561835
ShrinkageLDA + RandomForestClassifier,ShrinkageLDA,RandomForestClassifier,0.9422134368690486,0.9409221059822812,0.0012913308867673612,0.0025834033233124954
ShrinkageLDA + KNeighborsClassifier,ShrinkageLDA,KNeighborsClassifier,0.942028637448276,0.9409221059822812,0.00110653146599482,0.0019467393292796336
ShrinkageLDA + BaggingClassifier,ShrinkageLDA,BaggingClassifier,0.9419800532024029,0.9409221059822812,0.0010579472201216467,0.004324130622047777
ShrinkageLDA + AdaBoostClassifier,ShrinkageLDA,AdaBoostClassifier,0.9415215138534933,0.9409221059822812,0.0005994078712120432,0.0027772004342280303
QuadraticDiscriminantAnalysis + RegularizedQDA,QuadraticDiscriminantAnalysis,RegularizedQDA,0.9114887476725688,0.914504332166933,-0.003015584494364232,0.00547500018232025
QuadraticDiscriminantAnalysis + LinearSVC,QuadraticDiscriminantAnalysis,LinearSVC,0.9415441630327852,0.9416045440940944,-6.038106130923371e-05,0.005297558366357996
QuadraticDiscriminantAnalysis + SVC_rbf,QuadraticDiscriminantAnalysis,SVC_rbf,0.945579212379737,0.9453291087902471,0.00025010358948984734,0.001972088354486615
QuadraticDiscriminantAnalysis + HingeSGDClassifier,QuadraticDiscriminantAnalysis,HingeSGDClassifier,0.9283736335638461,0.9378284691687397,-0.009454835604893685,0.010727247648367721
QuadraticDiscriminantAnalysis + LogLossSGDClassifier,QuadraticDiscriminantAnalysis,LogLossSGDClassifier,0.9355040772716174,0.9286672220731063,0.0068368551985111825,0.005899300533870958
QuadraticDiscriminantAnalysis + PolynomialSGDClassifier,QuadraticDiscriminantAnalysis,PolynomialSGDClassifier,0.9119454180207244,0.914504332166933,-0.0025589141462086795,0.005327208248040469
QuadraticDiscriminantAnalysis + GaussianNB,QuadraticDiscriminantAnalysis,GaussianNB,0.8995767421412312,0.914504332166933,-0.014927590025701876,0.0024938025184980325
QuadraticDiscriminantAnalysis + DecisionTreeClassifier,QuadraticDiscriminantAnalysis,DecisionTreeClassifier,0.9177310204206878,0.914504332166933,0.003226688253754717,0.0034418657078844925
QuadraticDiscriminantAnalysis + FullDecisionTreeClassifier,QuadraticDiscriminantAnalysis,FullDecisionTreeClassifier,0.9164754335395052,0.914504332166933,0.0019711013725721704,0.005054025466306897
QuadraticDiscriminantAnalysis + RandomForestClassifier,QuadraticDiscriminantAnalysis,RandomForestClassifier,0.9346823975768229,0.9343736305860911,0.00030876699073179026,0.00435979649756035
